pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
KendLa00,lance-kendricks-1,00-0027985,Lance Kendricks,TE,2011,2,47,STL,wisconsin,75.0,243.0,4.65,34.5,122.0,25.0,6.94,4.15,,,,,,72.0,,0.0,62943.0,141356663.0,35.0,16.0,13.0,137.0,0,0,6,False,skill_pass,False,False,False,False
HamiCo00,cobi-hamilton-1,00-0030290,Cobi Hamilton,WR,2013,6,197,CIN,arkansas,74.0,212.0,4.56,29.5,107.0,11.0,,4.31,,,,,,1.0,-8.0,0.0,19323490.0,3476305421335.0,3645.0,2.0,0.0,14.0,0,0,1,False,skill_pass,False,True,False,False
StilKe00,kenny-stills-1,00-0030085,Kenny Stills,WR,2013,5,144,NOR,oklahoma,72.0,194.0,4.38,33.5,124.0,16.0,,4.35,,,,,,12.0,122.0,0.0,616182.0,786849959.0,5811.0,35.0,14.0,130.0,0,0,5,False,skill_pass,False,True,False,False
PattQu00,quinton-patton-1,00-0030450,Quinton Patton,WR,2013,4,128,SFO,louisiana tech,72.0,204.0,4.53,33.0,118.0,8.0,6.91,4.01,,,,,,101.0,,0.0,79104.0,12021392.0,1113.0,6.0,6.0,40.0,0,0,1,False,skill_pass,False,False,False,False
HarpCh00,chris-harper-2,00-0030077,Chris Harper,WR,2013,4,123,SEA,kansas st.,73.0,229.0,4.55,35.5,116.0,20.0,6.89,4.39,,,,,,530.0,,0.0,254058.0,330547857.0,453.0,0.0,,4.0,0,0,0,False,skill_pass,False,False,False,False
DaviFr01,fred-davis-1,00-0026188,Fred Davis,TE,2008,2,48,WAS,southern california,75.0,255.0,4.68,,,24.0,,,16.0,26.0,312.0,2.0,1.0,5.0,-15.0,0.0,,,,14.0,14.0,72.0,0,0,3,False,skill_pass,False,True,False,True
RyanMa00,matt-ryan-1,00-0026143,Matt Ryan,QB,2008,1,3,ATL,boston col.,77.0,228.0,4.89,,,,7.4,4.51,61225266.0,141403411.0,89236243869.0,73032.0,5712.0,335844.0,,124.0,,,,146.0,144.0,234.0,4,1,15,False,skill_pass,False,True,False,False
JeffD.00,dc-jefferson-1,00-0030291,D.C. Jefferson,TE,2013,7,219,ARI,rutgers,78.0,255.0,4.97,,,3.0,,,0.0,2.0,0.0,0.0,0.0,,,,5101220.0,108166118168.0,101.0,0.0,0.0,4.0,0,0,0,False,skill_pass,False,True,False,False
EbroEr00,eric-ebron-1,00-0031387,Eric Ebron,TE,2014,1,10,DET,north carolina,76.0,250.0,4.6,32.0,120.0,24.0,,,,,,,,2.0,7.0,0.0,104062.0,207625973.0,143.0,29.0,15.0,106.0,1,0,4,False,skill_pass,False,True,False,False
HardMe00,mecole-hardman-1,00-0035140,Mecole Hardman,WR,2019,2,56,KAN,georgia,70.0,187.0,4.33,36.5,119.0,17.0,,,,,,,,85.0,6136.0,20.0,2534.0,418532.0,47.0,23.0,23.0,82.0,1,0,0,False,skill_pass,False,True,False,False
