pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof
GoodTa99,tavares-gooden-1,00-0026211,Tavares Gooden,LB,2008,3,71,BAL,miami,73.0,234.0,4.62,35.0,118.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,58.0,0,0,1,False
ChilGr00,greg-childs-1,00-0029573,Greg Childs,WR,2012,4,134,MIN,arkansas,75.0,219.0,4.52,36.5,125.0,19.0,,,,,,,,,,,133.0,2066.0,15.0,,,,,,,,,,,,,,,,,0,0,0,False
JerrJo20,,00-0027678,John Jerry,T,2010,3,73,MIA,mississippi,77.0,328.0,5.15,27.5,101.0,,7.93,4.69,,,,,,,,,,,,,,,,,,,,,,,,,40.0,17.0,132.0,0,0,6,False
SharDa01,darryl-sharpton-1,00-0027703,Darryl Sharpton,LB,2010,4,102,HOU,miami,71.0,236.0,4.81,,,24.0,7.19,4.42,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,47.0,0,0,1,False
ClarDa02,damone-clark-1,00-0037281,Damone Clark,LB,2022,5,176,DAL,louisiana state,75.0,239.0,4.57,36.5,127.0,,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,55.0,0,0,1,False
MintKe00,kevin-minter-1,00-0030382,Kevin Minter,LB,2013,2,45,ARI,louisiana state,72.0,246.0,4.81,33.0,119.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,19.0,123.0,0,0,3,False
MurrKe00,kenneth-murray-1,00-0036441,Kenneth Murray,LB,2020,1,23,LAC,oklahoma,74.0,241.0,4.52,38.0,129.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,22.0,90.0,0,0,4,False
MoorCl00,,00-0022826,Clarence Moore,WR,2004,6,199,BAL,northern arizona,78.0,211.0,4.55,34.0,122.0,,6.84,4.16,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,29.0,0,0,0,False
AmerDa00,david-amerson-1,00-0030420,David Amerson,CB,2013,2,51,WAS,north carolina st.,73.0,205.0,4.44,35.5,127.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,74.0,0,0,4,False
DannMi00,mike-danna-1,00-0036378,Michael Danna,DE,2020,5,177,KAN,michigan,,,,,,,,,,,,,,5.0,22.0,0.0,24.0,509.0,3.0,,,,,,,,,,,,,,23.0,23.0,87.0,0,0,2,False
