pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split,_raw_broad,10 Yard Split,10 Yard Split
,,,Jake Golday,LB,2026,54,9500000,2,54,,cincinnati,76.5,239,4.62,39.0,,,7.02,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6044,948,3178,7678,1.6,1.6,,1.6,1.6
,,,Bryson Eason,DT,2026,132,5560000,4,132,,tennessee,74.125,323,5.09,30.5,112.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6021,1000,3318,,,,9'4,,
,,,Jadarian Price,RB,2026,71,7163077,3,71,,notre dame,70.625,203,4.49,35.0,124.0,21.0,,,,,,,,280.0,1692.0,21.0,15.0,162.0,3.0,,,,,,,,,,,,,,,,,,,,,5105,958,3078,7858,,,1004,,
,,,Seth McGowan,RB,2026,186,4900000,6,186,,kentucky,72.25,223,4.49,42.5,131.0,,,4.5,,,,,,376.0,1908.0,18.0,55.0,604.0,4.0,,,,,,,,,,,,,,,,,,,,,6002,868,3138,7718,,,1011,,
,,,Dani Dennis-Sutton,DT,2026,135,5500000,4,135,,penn state,78.0,256,4.63,39.5,131.0,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060,1018,3348,,,,10'11,,
,,,Marlin Klein,TE,2026,194,4900000,6,194,,michigan,78.0,248,4.61,36.0,117.0,,7.42,,,,,,,,,,38.0,364.0,1.0,,,,,,,,,,,,,,,,,,,,,6060,928,3238,,,,909,,
,,,Max Iheanachor,G,2026,58,8600000,2,58,,arizona state,77.875,321,4.91,30.5,115.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057,900,3378,8328,,,907,,
,,,Aamil Wagner,G,2026,131,5580000,4,131,,notre dame,78.0,306,5.01,29.5,108.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060,1028,3448,,,,900,,
,,,Sam Hecht,G,2026,84,6728462,3,84,,kansas state,76.0,303,5.1,,101.0,,7.75,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,978,3158,,,,805,,
,,,Brian Parker II,G,2026,117,5860000,4,117,,duke,77.0,309,5.14,,,29.0,7.66,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1000,3278,,,,,,
,,,Kadyn Proctor,G,2026,28,15413333,1,28,,alabama,78.625,352,5.22,32.5,109.0,25.0,,,,,,,,5.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6065,968,3338,8158,,,901,,
,,,Blake Miller,G,2026,32,14400000,1,32,,clemson,78.75,317,5.04,32.0,113.0,32.0,,,,,,,,,,,4.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,6066,968,3428,8378,,,905,,
,,,Keylan Rutledge,G,2026,57,8800000,2,57,,georgia tech,76.0,316,5.05,32.5,104.0,,7.54,,,,,,,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6040,1000,3328,,,,808,,
,,,Emmanuel Pregnon,G,2026,49,10619231,2,49,,oregon,76.25,314,5.21,35.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6042,1100,3358,8278,,,903,,
,,,Jack Endries,TE,2026,113,5940000,4,113,,texas,76.625,245,4.62,36.0,119.0,,,,,,,,,,,,124.0,1377.0,7.0,,,,,,,,,,,,,,,,,,,,,6045,958,3118,,,,911,,
,,,Matthew Hibner,TE,2026,191,4900000,6,191,,southern methodist,76.0,251,4.57,37.0,116.0,,,,,,,,,,,,57.0,819.0,8.0,,,,,,,,,,,,,,,,,,,,,6040,938,3238,,,,908,,
,,,Drew Shelton,G,2026,69,7227692,3,69,,penn state,77.0,313,5.18,31.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,958,3338,,,,904,,
,,,Will Kacmarek,TE,2026,195,4900000,6,195,,ohio state,77.625,261,4.74,36.0,119.0,,,,,,,,,2.0,5.0,0.0,65.0,761.0,4.0,,,,,,,,,,,,,,,,,,,,,6055,968,3228,,,,911,,
,,,Jake Slaughter,G,2026,60,8200000,2,60,,florida,77.0,303,5.1,32.5,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1000,3238,,,,902,,
,,,Mike Washington Jr,RB,2026,89,6561500,3,89,,arkansas,73.0,223,4.33,39.0,128.0,,,,273.0,473.0,2963.0,17.0,9.0,55.0,317.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,6010,948,3358,8200,,,1008,,
,,,TJ Parker,DT,2026,17,18300000,1,17,,clemson,75.5,263,4.68,34.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6034,948,3318,7900,,,10'0,,
,,,Taylen Green,QB,2026,90,6530000,3,90,,arkansas,77.875,227,4.36,43.5,134.0,,,,715.0,1191.0,9642.0,59.0,35.0,457.0,2400.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,6057,978,3468,8368,,,1102,,
,,,Cole Payton,QB,2026,173,4970000,5,173,,north dakota state,74.625,232,4.56,,,,7.12,4.36,198.0,280.0,3184.0,21.0,6.0,279.0,1841.0,29.0,3.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,6025,1028,3158,7868,,,,,
,,,Austin Barber,G,2026,78,6930000,3,78,,florida,79.0,318,5.12,32.0,111.0,,,,,,,,,0.0,-3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6070,958,3318,,,,903,,
,,,Jude Bowry,G,2026,162,5080000,5,162,,boston college,77.0,314,5.08,34.5,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1068,3368,,,,907,,
,,,Justin Jefferson,LB,2026,123,5740000,4,123,,alabama,72.0,223,4.57,38.5,125.0,,,,,,,,,5.0,26.0,0.0,165.0,2414.0,24.0,,,,,,,,,,,,,,,,,,,,,6000,1000,3168,,1.6,1.6,10'5,1.6,1.6
,,,Caleb Lomu,G,2026,25,16187500,1,25,,utah,78.25,313,4.99,32.5,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6062,948,3338,8268,,,905,,
,,,Gennings Dunker,G,2026,61,8000000,2,61,,iowa,77.0,319,5.18,,108.0,,,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050,1000,3348,8218,,,900,,
,,,Jam Miller,RB,2026,178,4920000,5,178,,alabama,70.25,209,4.42,30.5,115.0,,,,,,,,,,,,12.0,82.0,0.0,,,,,,,,,,,,,,,,,,,,,5102,868,3038,7428,,,907,,
,,,Caleb Douglas,WR,2026,157,5130000,5,157,,texas tech,75.5,206,4.39,31.5,126.0,,,,,,,,,,,,134.0,2018.0,16.0,,,,,,,,,,,,,,,,,,,,,6034,1018,3248,,,,1006,,
,,,Malik Benson,WR,2026,199,4900000,6,199,,oregon,72.0,189,4.37,32.5,122.0,,,,,,,,,3.0,-2.0,0.0,81.0,1192.0,8.0,,,,,,,,,,,,,,,,,,,,,6000,858,3178,,,,1002,,
,,,DeMonte Capehart,DT,2026,176,4940000,5,176,,clemson,76.875,313,4.85,33.5,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6047,1028,3378,,,,8'11,,
,,,Jaishawn Barham,DT,2026,141,5380000,5,141,,michigan,75.5,240,4.64,33.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6034,1028,3418,,,,10'3,,
,,,Caleb Banks,DT,2026,38,13000000,2,38,,florida,78.25,327,5.04,32.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6062,1078,3500,8568,,,9'6,,
,,,Colton Hood,CB,2026,34,13922143,2,34,,tennessee,71.625,193,4.44,40.5,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,900,3138,7478,,,1005,,
,,,David Bailey,DT,2026,7,33300000,1,7,,texas tech,75.625,251,4.5,35.0,129.0,,,,1.0,1.0,16.0,1.0,0.0,569.0,2512.0,26.0,37.0,307.0,4.0,,,,,,,,,,,,,,,,,,,,,6035,1028,3368,7968,,,10'9,,
,,,Jeff Caldwell,WR,2026,148,5240000,5,148,,cincinnati,77.0,216,4.31,42.0,134.0,,,,,,,,,3.0,25.0,1.0,118.0,2134.0,27.0,,,,,,,,,,,,,,,,,,,,,6050,968,3258,,,,1102,,
