pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag
MoorD.00,dj-moore-3,00-0034827,D.J. Moore,WR,2018,1,24,CAR,maryland,72.0,210.0,4.42,39.5,132.0,15.0,6.95,4.07,12.0,122.0,2115.0,0.0,0.0,1115.0,95561.0,1.0,254180.0,3576371033.0,368.0,61.0,36.0,131.0,0,0,7,False,skill_pass,False,False,False,False,83.21,1,0,True,110.04244036771127,85.75,5.51,28.47800925925926,-0.8239222488023566,-0.38763819764006335,-0.9925492166884944,1.4314579440375144,1.94337478080738,-0.5207514908791422,-0.33432574308530455,-1.1454767260282495,1.0111518056354387,1.8893215608752243,-0.7467325798083198,0.19077491172593866,0,1,0,0.999973280611607,14070.229888268157,0.0014477929026674012,False,,,,False
WhitJo02,jordan-white-1,00-0029642,Jordan White,WR,2012,7,244,NYJ,western michigan,72.0,208.0,4.63,35.0,119.0,14.0,6.84,4.13,0.0,1.0,0.0,0.0,0.0,31.0,2927.0,0.0,195394128.0,21768113781792.0,141017.0,0.0,0.0,3.0,0,0,0,False,skill_pass,False,False,False,False,0.53,0,1,True,90.52517364568132,77.0,5.484999999999999,28.20679012345679,-0.8239222488023566,-0.4666771129516409,0.08601623177246896,0.18073236617374983,0.1525180207722253,-0.712828513745783,-0.810543600381073,-0.776445240738666,-0.5667586586498721,0.16511729001288614,-0.8887508623627398,0.05873895931015791,0,1,0,0.9999999998655372,111406.181980003,0.0007217054137880746,False,,,,False
MillBr03,braxton-miller-1,00-0033069,Braxton Miller,WR,2016,3,85,HOU,ohio st.,73.0,201.0,4.5,35.0,123.0,17.0,6.65,4.07,851481621.0,1572542551.0,1159203920943.0,1315240.0,4670.0,15922717142.0,71512711068260.0,713121.0,26.0,341.0,3.0,2.0,2.0,21.0,0,0,1,False,skill_pass,False,False,False,False,46.16,0,0,True,98.03383630544124,79.0,5.36,26.51585663351473,-0.4259983182696639,-0.7433133165421622,-0.5816671410843175,0.18073236617374983,0.7035508700138113,-0.13659744514586067,-1.633101717528305,-1.1454767260282495,0.040293422584957196,0.5592211233528491,-1.5988422751348248,-0.764447845542895,0,1,0,4.7683830595218825e-12,13.115384615384615,0.11538461538461539,False,,,,False
CampMi02,michael-campanaro-1,00-0031025,Michael Campanaro,WR,2014,7,218,BAL,wake forest,69.0,192.0,4.46,39.0,122.0,20.0,6.77,4.01,312.0,412.0,1063929.0,211.0,100.0,292164.0,123238210.0,1010.0,10737967.0,107833763803.0,266.0,4.0,4.0,24.0,0,0,0,False,skill_pass,False,False,False,False,2.95,0,1,True,97.04916196065206,80.5,5.39,28.35034656584751,-2.0176940404004347,-1.098988435444261,-0.7871081788864059,1.292488435385985,0.5657926577034149,0.43963362345406165,-1.1135913277511078,-1.5145082113178383,-0.03931444334651458,0.8547989983578214,-1.428420336069527,0.12862566380244148,0,1,0,0.9988584509786113,10042.288619717308,2.4771914460158056e-05,False,,,,False
BrowAn04,antonio-brown-1,00-0027793,Antonio Brown,WR,2010,6,195,PIT,central michigan,70.0,186.0,4.56,33.5,105.0,13.0,6.98,4.18,11.0,122.0,224.0,10.0,0.0,92042.0,61116341.0,103.0,9893110.0,9809981198.0,679.0,92.0,86.0,146.0,7,4,7,False,skill_pass,False,False,False,False,6.74,0,1,True,86.03666530535573,69.25,5.58,26.685306122448978,-1.619770109867742,-1.3361051813789935,-0.273505584381187,-0.23617615978083836,-1.776096951573326,-0.9049055366124238,-0.20444814564100333,-0.46891900299734574,-0.9296406328577349,-1.3620350641794705,-0.3490813886559478,-0.681955787629638,0,1,0,0.9938085566717851,991.5973033757838,6.863362481565453e-05,False,,,,False
GranRy01,ryan-grant-2,00-0031068,Ryan Grant,WR,2014,5,142,WAS,tulane,72.0,199.0,4.64,35.5,119.0,8.0,6.68,4.11,0.0,11.0,0.0,0.0,1.0,5.0,3.0,0.0,93317677.0,395152711491039.0,14169.0,10.0,7.0,80.0,0,0,1,False,skill_pass,False,False,False,False,21.33,0,1,True,85.86400662360506,77.25,5.395,26.98630401234568,-0.8239222488023566,-0.8223522318537396,0.13737649122298995,0.31970187482527923,0.1525180207722253,-1.8652906509456277,-1.5032241200840075,-0.8994557358351921,-0.9435995516225516,0.21438026918038153,-1.4000166795586437,-0.5354228265608573,0,1,0,0.9999999999999925,4234489.372158707,0.00015183618426335238,False,,,,False
AbbrJa00,jared-abbrederis-1,00-0031021,Jared Abbrederis,WR,2014,5,176,GNB,wisconsin,73.0,195.0,4.5,30.5,117.0,4.0,6.8,4.08,1.0,1.0,27.0,0.0,0.0,31186.0,276283119.0,2.0,20554978.0,2899338371081.0,3857.0,1.0,1.0,22.0,0,0,0,False,skill_pass,False,False,False,False,11.03,0,1,True,95.10745313214449,73.75,5.4399999999999995,25.724338525051603,-0.4259983182696639,-0.9804300624768947,-0.5816671410843175,-1.0699932116900148,-0.12299840384856776,-2.633598742412191,-0.9837137303068066,-1.0839714784799865,-0.19629557819153795,-0.4753014391645537,-1.1443837709606919,-1.1497777633455277,0,1,0,0.9999047172980038,141052.85693232072,0.00018764311010208818,False,,,,False
SamuDe00,deebo-samuel-1,00-0035719,Deebo Samuel,WR,2019,2,36,SFO,south carolina,71.0,214.0,4.48,39.0,122.0,15.0,7.03,4.14,11.0,11.0,3313.0,11.0,0.0,1528.0,983026.0,610.0,12591562.0,161783250882.0,11311.0,52.0,47.0,97.0,1,1,5,False,skill_pass,False,False,False,False,75.07,0,0,True,106.2506787333077,80.5,5.585,29.84368180916485,-1.2218461793350492,-0.22956036701690832,-0.6843876599853594,1.292488435385985,0.5657926577034149,-0.5207514908791422,0.012014516766162744,-0.7149399931904031,0.7045996410207265,0.8547989983578214,-0.3206777321450648,0.8556169232652712,0,1,0,0.9999939238455055,12848.544992432233,0.000898299988516119,False,,,,False
FordIs00,isaiah-ford-1,00-0033471,Isaiah Ford,WR,2017,7,237,MIA,virginia tech,73.0,194.0,4.61,35.5,127.0,14.0,6.94,4.34,110.0,121.0,30140.0,0.0,0.0,476.0,5133.0,0.0,567579.0,70911641094.0,6117.0,5.0,5.0,32.0,0,0,0,False,skill_pass,False,False,False,False,0.98,0,1,True,85.90689534835319,81.25,5.640000000000001,25.59241884030775,-0.4259983182696639,-1.0199495201326834,-0.01670428712857299,0.31970187482527923,1.2545837192553975,-0.712828513745783,-0.377618275566737,0.5151649577748839,-0.9401321312842554,1.0025879358603076,-0.008237510525341774,-1.2139994163126322,0,1,0,0.999999927614147,124937.04152902063,0.010777354341862543,False,,,,False
GiveCh00,chris-givens-2,00-0029614,Chris Givens,WR,2012,4,96,STL,wake forest,71.0,198.0,4.35,33.5,118.0,19.0,6.97,4.23,0.0,11.0,0.0,0.0,0.0,151614.0,986377.0,20.0,453583.0,6295141330.0,849.0,12.0,11.0,60.0,0,0,2,False,skill_pass,False,False,False,False,40.63,0,0,True,110.59567869378967,75.75,5.6,27.612378496330095,-1.2218461793350492,-0.8618716895095284,-1.3520710328421504,-0.23617615978083836,0.014759808461828759,0.24755660058742088,-0.24774067812243963,-0.16139276525601987,1.055879407937325,-0.08119760582459072,-0.2354667626124158,-0.23063481618866163,0,1,0,0.9998433359287006,13878.697680468624,0.0018717632715511824,False,,,,False
