pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag,_split,weighted_av_pred,surplus_value,surplus_value_percentile,pro_bowl_probability,peak_value_percentile,availability_factor,sleeper_score
WatkTo20,todd-watkins-1,00-0024432,Todd Watkins,WR,2006,7,218,ARI,byu,74.0,202.0,4.4,36.0,118.0,15.0,7.13,4.24,,,,,,,,,,,,1.0,,21.0,0,0,0,False,skill_pass,False,False,False,True,2.95,0,1,True,107.7880609248002,77.0,5.6850000000000005,25.93243243243243,-0.0280743877369711,-0.7037938588863734,-1.0952697355895364,0.4586713834768086,0.0147598084618287,-0.5207514908791422,0.4449398415804949,-0.0998875177077568,0.8288922216423632,0.1651172900128861,0.2473953980726102,-1.0484726796475992,0,1,0,,,,True,,,,True,train,6.6157,0.6418972,0.5952861952861953,0.15852885,0.2053872053872054,0.10337031,33.15717527262792
JennAd00,adam-jennings-1,00-0024398,Adam Jennings,WR,2006,6,184,ATL,fresno st.,69.0,181.0,4.44,37.5,118.0,,6.88,4.12,,,,,,,,,,,,0.0,0.0,46.0,0,0,0,False,skill_pass,False,True,False,True,9.09,0,1,True,93.14867681269142,77.75,5.5,26.726107960512497,-2.0176940404004347,-1.533702469657937,-0.8898286977874479,0.8755799094313969,0.0147598084618287,,-0.6373734704553393,-0.8379504882869291,-0.3546565667294757,0.3129062275153723,-0.8035398928300858,-0.6620924784531247,0,1,0,,,,True,,,,True,train,7.3995647,0.8298259,0.6195286195286195,0.16382739,0.26464646464646463,0.11561821,35.66298610661869
GradBr00,bruce-gradkowski-1,00-0024408,Bruce Gradkowski,QB,2006,6,194,TAM,toledo,73.0,217.0,4.59,34.0,107.0,,7.12,4.16,,,,,,,,,,,,8.0,3.0,37.0,0,0,1,False,skill_pass,False,True,False,True,6.94,0,1,True,97.7775131584837,70.5,5.640000000000001,28.6265715894164,-0.4259983182696639,-0.111001994049542,-0.1194248060296195,-0.0972066511293089,-1.500580526952533,,0.4016473090990625,-0.5919294980938716,0.0195704913680403,-1.1157201683419935,-0.0082375105253417,0.263098601930792,1,0,0,,,,True,,,,True,train,7.088322,0.5185833,0.5804713804713805,0.16170667,0.23973063973063974,0.11075504,33.46270233518146
RattTi00,tim-rattay-1,00-0019623,Tim Rattay,QB,2000,7,212,SFO,louisiana tech,72.0,215.0,4.91,25.5,100.0,,7.34,4.21,,,,,,,,,,,,12.0,10.0,40.0,0,0,1,False,skill_pass,False,True,False,True,3.79,0,1,True,73.98479709608168,62.75,5.775,29.156057098765437,-0.8239222488023566,-0.1900409093611196,1.5241034963870883,-2.4596882982053088,-2.4648880131253086,,1.3540830236905956,-0.2844032603525513,-1.9039967879711956,-2.64287252253435,0.7586612152685142,0.5208647927653923,1,0,0,,,,True,,,,True,train,34.208893,28.23509,0.9804713804713805,0.4281127,0.9050505050505051,0.53451395,76.57239878548918
JaniJe00,,00-0031001,Jeff Janis,WR,2014,7,236,GNB,saginaw valley st.,75.0,219.0,4.42,37.5,123.0,20.0,6.64,3.98,,,,,,,,,,,,2.0,2.0,51.0,0,0,0,False,skill_pass,False,False,False,True,1.06,0,1,True,114.7585449548989,80.25,5.31,27.37013333333333,0.3698495427957216,-0.0319630787379645,-0.9925492166884944,0.8755799094313969,0.7035508700138113,0.4396336234540616,-1.676394250009741,-1.69902395396263,1.3924342303095705,0.805536019190326,-1.8828788402436647,-0.3485655467020452,0,1,0,,,,True,,,,True,train,9.44147,3.4676676,0.8228956228956229,0.17829728,0.4511784511784512,0.14752297,48.45579932065625
HusaTo20,todd-husak-1,00-0019622,Todd Husak,QB,2000,6,202,WAS,stanford,75.0,216.0,5.2,27.5,99.0,,7.17,4.41,,,,,,,,,,,,0.0,0.0,1.0,0,0,0,False,skill_pass,False,True,False,True,5.42,0,1,True,59.08406568397464,63.25,5.79,26.9952,0.3698495427957216,-0.1505214517053308,3.0135510204522284,-1.9038102635991911,-2.602646225435705,,0.6181099715062286,0.9457016906127356,-3.108674694746407,-2.5443465641993592,0.8438721848011632,-0.5310920473216201,1,0,0,,,,True,,,,True,train,11.66201,5.0922713,0.868013468013468,0.1951481,0.560942760942761,0.18221891,53.48673410894293
St.BEq00,equanimeous-st-brown-1,00-0034279,Equanimeous St. Brown,WR,2018,6,207,GNB,notre dame,77.0,214.0,4.48,,,20.0,,,,,,,,,,,15833.0,8961515.0,94.0,8.0,4.0,62.0,0,0,2,False,skill_pass,False,True,False,False,4.57,0,1,True,106.2506787333077,,,25.37392477652218,1.165697403861107,-0.2295603670169083,-0.6843876599853594,,,0.4396336234540616,,,0.7045996410207265,,,-1.320367544519239,0,1,0,1.0,566.002336891303,0.005936967094044,False,,,,True,train,6.2631,-0.30663872,0.4080808080808081,0.1561912,0.1717171717171717,0.09786094,24.838618777466547
GilbGa01,garrett-gilbert-1,00-0031395,Garrett Gilbert,QB,2014,6,214,STL,southern methodist,,,,,,,,,3026015268335.0,6644131506504.0,3.102744247293235e+17,21011521.0,4172157.0,1110079483.0,538015346267.0,15086.0,,,,2.0,,8.0,0,0,0,False,skill_pass,False,True,True,False,3.5,0,1,True,,,,,,,,,,,,,,,,,1,0,0,,,,True,0.4554418083646909,46699.0191909346,5.036129033495144,False,train,5.8507795,-0.71895933,0.3245791245791246,0.15349333,0.07609427609427609,0.09141843,19.403285706886138
SmitBr01,brad-smith-1,00-0024318,Brad Smith,QB,2006,4,103,NYJ,missouri,74.0,213.0,4.46,39.5,128.0,,7.0,4.33,,,,,,,,,,,,17.0,12.0,125.0,0,0,1,False,skill_pass,False,True,False,True,37.29,0,0,True,107.66391405009836,83.75,5.665,27.344594594594597,-0.0280743877369711,-0.2690798246726971,-0.7871081788864059,1.4314579440375144,1.392341931565794,,-0.1178630806781384,0.4536597102266209,0.8188553319748562,1.4952177275352612,0.1337807720290732,-0.360998414622261,1,0,0,,,,True,,,,True,train,12.604765,2.750309,0.7898989898989899,0.20265833,0.5878787878787879,0.19694945,51.34569083093995
HagaMa00,marques-hagans-1,00-0024358,Marques Hagans,WR,2006,5,144,STL,virginia,69.0,202.0,4.67,35.0,114.0,,7.03,4.38,,,,,,,,,,,,1.0,1.0,6.0,0,0,0,False,skill_pass,False,True,False,True,20.63,0,1,True,84.94031023040195,74.5,5.705,29.82692711615207,-2.0176940404004347,-0.7037938588863734,0.2914572695745574,0.1807323661737498,-0.5362730407797573,,0.0120145167661627,0.7611859479679413,-1.0182775393457324,-0.3275125016620676,0.3610100241161422,0.8474603385802311,0,1,0,,,,True,,,,True,train,9.996681,1.552742,0.703030303030303,0.18240078,0.4895622895622896,0.15619814,44.68443627585265
