pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
GordMe00,melvin-gordon-1,00-0032144,Melvin Gordon,RB,2015,1,15,SDG,wisconsin,73.0,215.0,4.52,35.0,126.0,19.0,7.04,4.07,,,,,,631.0,4915.0,45.0,22.0,228.0,4.0,51.0,38.0,112.0,2,0,7,False,skill_run,False,False,False,False
AlleAn01,anthony-allen-1,00-0028163,Anthony Allen,RB,2011,7,225,BAL,georgia tech,73.0,228.0,4.56,41.5,120.0,24.0,6.79,4.06,,,,,,546.0,3036.0,33.0,33.0,401.0,5.0,1.0,1.0,21.0,0,0,0,False,skill_run,False,False,False,False
YeldT.00,tj-yeldon-1,00-0032209,T.J. Yeldon,RB,2015,2,36,JAX,alabama,73.0,226.0,4.61,36.0,117.0,22.0,7.19,4.22,,,,,,576.0,3322.0,37.0,46.0,494.0,2.0,20.0,19.0,60.0,0,0,2,False,skill_run,False,False,False,False
ChapSh00,shaun-chapas-1,00-0028158,Shaun Chapas,RB,2011,7,220,DAL,georgia,74.0,247.0,4.87,35.5,116.0,23.0,7.13,4.4,,,,,,40.0,155.0,3.0,26.0,221.0,4.0,0.0,0.0,6.0,0,0,0,False,skill_run,False,False,False,False
GillMi00,mike-gillislee-1,00-0030433,Mike Gillislee,RB,2013,5,164,MIA,florida,71.0,208.0,4.55,30.5,119.0,15.0,7.12,4.4,,,,,,389.0,2072.0,20.0,23.0,182.0,2.0,11.0,0.0,36.0,0,0,0,False,skill_run,False,False,False,False
BestJa00,jahvid-best-1,00-0027880,Jahvid Best,RB,2010,1,30,DET,california,70.0,199.0,4.34,32.5,113.0,18.0,6.75,4.17,,,,,,364.0,2668.0,29.0,62.0,533.0,6.0,13.0,13.0,22.0,0,0,2,False,skill_run,False,False,False,False
CareKa00,kadeem-carey-1,00-0031057,Ka'Deem Carey,RB,2014,4,117,CHI,arizona,69.0,207.0,4.69,32.5,115.0,19.0,7.08,4.38,,,,,,743.0,4239.0,48.0,77.0,679.0,4.0,3.0,3.0,37.0,0,0,0,False,skill_run,False,False,False,False
BlueAl00,alfred-blue-1,00-0031075,Alfred Blue,RB,2014,6,181,HOU,louisiana state,74.0,223.0,4.63,32.0,121.0,13.0,7.15,4.5,,,,,,209.0,1253.0,11.0,16.0,105.0,0.0,18.0,18.0,73.0,0,0,1,False,skill_run,False,False,False,False
HomeTr00,travis-homer-1,00-0035594,Travis Homer,RB,2019,6,204,SEA,miami,70.0,201.0,4.48,39.5,130.0,17.0,7.07,4.31,,,,,,334.0,2000.0,12.0,37.0,405.0,1.0,8.0,8.0,85.0,0,0,0,False,skill_run,False,False,False,False
BernGi00,giovani-bernard-1,00-0030456,Giovani Bernard,RB,2013,2,37,CIN,north carolina,68.0,202.0,4.53,33.5,122.0,19.0,6.91,4.12,,,,,,423.0,2481.0,25.0,92.0,852.0,6.0,42.0,41.0,135.0,0,0,2,False,skill_run,False,False,False,False
WillDe07,dexter-williams-1,00-0034995,Dexter Williams,RB,2019,6,194,GNB,notre dame,71.0,212.0,4.57,36.0,130.0,17.0,7.0,4.16,,,,,,257.0,1636.0,20.0,22.0,162.0,2.0,0.0,0.0,7.0,0,0,0,False,skill_run,False,False,False,False
WillTr06,trayveon-williams-1,00-0035291,Trayveon Williams,RB,2019,6,182,CIN,texas a&m,68.0,206.0,4.51,33.0,121.0,19.0,7.44,4.44,,,,,,600.0,3615.0,34.0,66.0,560.0,1.0,4.0,3.0,75.0,0,0,0,False,skill_run,False,False,False,False
BarnKe00,kenjon-barner-1,00-0030465,Kenjon Barner,RB,2013,6,182,CAR,oregon,69.0,196.0,4.52,35.5,122.0,20.0,6.87,4.2,,,,,,582.0,3623.0,41.0,54.0,591.0,7.0,4.0,0.0,76.0,0,0,0,False,skill_run,False,False,False,False
BohaTo00,tommy-bohanon-1,00-0030112,Tommy Bohanon,RB,2013,7,215,NYJ,wake forest,73.0,246.0,4.88,35.0,119.0,36.0,7.27,4.42,,,,,,50.0,160.0,3.0,51.0,405.0,7.0,1.0,1.0,68.0,0,0,1,False,skill_run,False,False,False,False
HerrDa00,dan-herron-1,00-0029588,Dan Herron,RB,2012,6,191,CIN,ohio st.,70.0,213.0,4.57,35.0,117.0,22.0,6.97,4.04,,,,,,593.0,2872.0,32.0,44.0,309.0,1.0,5.0,0.0,35.0,0,0,0,False,skill_run,False,False,False,False
ConnJo00,john-conner-1,00-0027739,John Conner,RB,2010,5,139,NYJ,kentucky,71.0,246.0,4.64,35.0,111.0,24.0,7.15,4.32,,,,,,54.0,247.0,4.0,25.0,193.0,4.0,0.0,0.0,62.0,0,0,1,False,skill_run,False,False,False,False
MichCh00,christine-michael-1,00-0030432,Christine Michael,RB,2013,2,62,SEA,texas a&m,70.0,220.0,4.54,43.0,125.0,27.0,6.69,4.02,,,,,,529.0,2791.0,34.0,44.0,323.0,1.0,9.0,8.0,38.0,0,0,1,False,skill_run,False,False,False,False
BradAl00,allen-bradford-1,00-0028125,Allen Bradford,RB,2011,6,187,TAM,southern california,71.0,242.0,4.53,29.0,113.0,28.0,6.97,4.39,,,,,,267.0,1585.0,16.0,14.0,176.0,4.0,1.0,0.0,19.0,0,0,0,False,skill_run,False,False,False,False
FranJo01,johnathan-franklin-1,00-0030078,Johnathan Franklin,RB,2013,4,125,GNB,ucla,70.0,205.0,4.49,31.5,115.0,18.0,6.89,4.31,,,,,,788.0,4403.0,31.0,58.0,517.0,3.0,1.0,1.0,11.0,0,0,0,False,skill_run,False,False,False,False
SankBi00,bishop-sankey-1,00-0031413,Bishop Sankey,RB,2014,2,54,TEN,washington,69.0,209.0,4.49,35.5,126.0,26.0,6.75,4.0,,,,,,644.0,3496.0,37.0,67.0,567.0,1.0,6.0,6.0,29.0,0,0,1,False,skill_run,False,False,False,False
RoysEv00,evan-royster-1,00-0028115,Evan Royster,RB,2011,6,177,WAS,penn st.,72.0,212.0,4.65,34.0,113.0,20.0,7.07,4.18,,,,,,686.0,3932.0,29.0,61.0,562.0,3.0,4.0,4.0,32.0,0,0,0,False,skill_run,False,False,False,False
JamiJa00,jawan-jamison-1,00-0030415,Jawan Jamison,RB,2013,7,228,WAS,rutgers,67.0,203.0,4.68,29.0,110.0,20.0,,,1.0,1.0,16.0,1.0,0.0,486.0,1972.0,13.0,36.0,385.0,2.0,,,,0,0,0,False,skill_run,True,True,False,False
FowlJa00,jalston-fowler-1,00-0032130,Jalston Fowler,RB,2015,4,108,TEN,alabama,71.0,254.0,4.94,33.5,114.0,23.0,7.56,4.4,,,,,,112.0,738.0,5.0,19.0,150.0,7.0,0.0,0.0,42.0,0,0,1,False,skill_run,False,False,False,False
AlleJa01,javorius-allen-1,00-0031577,Javorius Allen,RB,2015,4,125,BAL,southern california,72.0,221.0,4.53,35.5,121.0,11.0,6.96,4.28,,,,,,417.0,2306.0,25.0,63.0,710.0,2.0,14.0,14.0,64.0,0,0,0,False,skill_run,False,False,False,False
DaviMi01,mike-davis-9,00-0032063,Mike Davis,RB,2015,4,126,SFO,south carolina,69.0,217.0,4.61,34.0,116.0,17.0,7.0,4.18,,,,,,454.0,2440.0,22.0,70.0,755.0,2.0,20.0,1.0,87.0,0,0,2,False,skill_run,False,False,False,False
AjayJa00,jay-ajayi-1,00-0031590,Jay Ajayi,RB,2015,5,149,MIA,boise st.,72.0,221.0,4.57,39.0,121.0,19.0,7.1,4.1,,,,,,678.0,3796.0,50.0,73.0,771.0,5.0,19.0,14.0,45.0,1,0,2,False,skill_run,False,False,False,False
ArmsRy00,ryquell-armstead-1,00-0035268,Ryquell Armstead,RB,2019,5,140,JAX,temple,71.0,220.0,4.45,30.0,114.0,22.0,7.02,4.29,,,,,,573.0,2812.0,34.0,29.0,175.0,0.0,2.0,2.0,18.0,0,0,0,False,skill_run,False,False,False,False
ScarJo00,jordan-scarlett-1,00-0035275,Jordan Scarlett,RB,2019,5,154,CAR,florida,71.0,208.0,4.47,30.0,116.0,21.0,7.37,4.63,,,,,,344.0,1846.0,12.0,15.0,108.0,0.0,0.0,0.0,10.0,0,0,0,False,skill_run,False,False,False,False
WillKa01,karlos-williams-1,00-0032152,Karlos Williams,RB,2015,5,155,BUF,florida st.,73.0,230.0,4.48,33.5,117.0,16.0,7.16,4.46,,,,,,241.0,1419.0,22.0,37.0,328.0,1.0,4.0,4.0,11.0,0,0,0,False,skill_run,False,False,False,False
WareSp00,spencer-ware-1,00-0030414,Spencer Ware,RB,2013,6,194,SEA,louisiana state,70.0,228.0,4.62,,,,,,1.0,2.0,39.0,1.0,0.0,295.0,1249.0,10.0,39.0,404.0,2.0,17.0,0.0,43.0,0,0,1,False,skill_run,False,True,False,False
TaylSt00,stepfan-taylor-1,00-0030282,Stepfan Taylor,RB,2013,5,140,ARI,stanford,69.0,214.0,4.76,30.0,110.0,17.0,7.13,4.5,,,,,,843.0,4300.0,40.0,97.0,778.0,5.0,3.0,3.0,61.0,0,0,0,False,skill_run,False,False,False,False
AlleBr20,brian-allen-2,00-0021311,Brian Allen,RB,2002,6,204,IND,stanford,69.0,209.0,4.46,33.0,112.0,19.0,6.9,4.08,,,,,,2.0,3.0,0.0,21.0,247.0,1.0,0.0,0.0,4.0,0,0,0,False,skill_run,False,False,False,False
