pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag,_split,weighted_av_pred,surplus_value,surplus_value_percentile,pro_bowl_probability,peak_value_percentile,availability_factor,sleeper_score
ForsJu00,justin-forsett-1,00-0026373,Justin Forsett,RB,2008,7,233,SEA,california,68.0,194.0,4.62,26.5,112.0,26.0,6.96,,,,,,,,,,,,,32.0,12.0,122.0,1,0,2,False,skill_run,False,True,False,True,1.31,0,1,True,85.16552410057005,69.25,,29.49437716262976,-1.5946829023137354,-1.4675007701149942,0.4702599191226237,-2.4704539083194312,-1.0668377648425562,1.118944922908658,-0.5064515438353956,,-1.7562212762142446,-1.706267792244006,,-0.6579194346534012,,,,,True,True,train,14.745013,9.336126,0.9359430604982206,0.22050099,0.6263345195729537,0.23039083,58.98224948643578
BoydCo01,cory-boyd-1,00-0026378,Cory Boyd,RB,2008,7,238,TAM,south carolina,72.0,213.0,4.52,33.5,118.0,25.0,6.97,4.24,,,,,,,,,,,,0.0,,1.0,0,0,0,False,skill_run,False,False,False,True,0.91,0,1,True,102.06006952789627,75.75,5.605,28.88483796296296,0.601181341934206,-0.3916925780975446,-0.2687755203587593,-0.307539405823622,-0.0803673943972969,0.917628472343502,-0.4663280451228335,-0.1650011917732947,-0.0295017939091929,-0.1700586545432988,-0.3805037709026278,-0.9819100365140012,,,,,True,True,train,8.505434,3.0965466,0.7651245551601423,0.17154337,0.3807829181494662,0.1328974,44.30945638514181
HillPe00,peyton-hillis-1,00-0026367,Peyton Hillis,RB,2008,7,227,DEN,arkansas,73.0,240.0,4.64,30.5,117.0,26.0,7.15,,,,,,,,,,,,,21.0,4.0,81.0,0,0,3,False,skill_run,False,True,False,True,1.89,0,1,True,103.55458085258904,73.75,,31.66072433852505,1.1501474029961911,1.1370874842430418,0.6180670070188964,-1.2345027640361117,-0.2447791228048401,1.118944922908658,0.2558949317033024,,0.1232458388680975,-0.6427383892204395,,0.4935670091077352,,,,,True,True,train,5.2324924,-0.17639494,0.43416370106761565,0.1495194,0.11565836298932385,0.081757694,24.30525720556966
ChoiTa00,tashard-choice-1,00-0026262,Tashard Choice,RB,2008,4,122,DAL,georgia tech,70.0,215.0,4.48,34.0,119.0,20.0,6.88,,,,,,,,,,,,,13.0,10.0,88.0,0,0,0,False,skill_run,False,True,False,True,28.96,0,0,True,106.74717723206147,76.5,,30.84591836734694,-0.4967507801897647,-0.2784496105167604,-0.5643896961513046,-0.153045512788207,0.0840443340102462,-0.088953780482278,-0.8274395335358996,,0.4495475077283352,0.0071962459606289,,0.060470208859422,,,,,True,True,train,12.2776375,0.6523714,0.5676156583629893,0.2000282,0.5533807829181495,0.19183809,41.60956769996054
ParmJa00,jalen-parmele-1,00-0026316,Jalen Parmele,RB,2008,6,176,MIA,toledo,71.0,224.0,4.47,34.0,125.0,19.0,6.96,4.29,,,,,,,,,,,,1.0,,36.0,0,0,0,False,skill_run,False,False,False,True,11.03,0,1,True,112.21422683106717,79.5,5.625,31.23824637968657,0.0522152808722206,0.2311437435967683,-0.6382932400994475,-0.153045512788207,1.0705147044555057,-0.2902702310474341,-0.5064515438353956,0.1437191909235494,1.008311346266554,0.7162158479763399,-0.2738960852463605,0.2690057532742428,,,,,True,True,train,5.923984,-0.63596153,0.39679715302491103,0.15396953,0.2402135231316726,0.09256225,25.606792125307372
FeltJe00,,00-0026286,Jerome Felton,RB,2008,5,146,DET,furman,72.0,241.0,4.68,32.5,110.0,30.0,7.2,4.46,,,,,,,,,,,,3.0,2.0,132.0,1,0,3,False,skill_run,False,False,False,True,19.94,0,1,True,100.47629814389953,71.25,5.83,32.68190586419753,0.601181341934206,1.1937089680334338,0.9136811828114484,-0.6165271918944519,-1.3956612216576427,1.9242107251692824,0.4565124252661165,1.1933684920928227,-0.1913723169148686,-1.2335880575668652,0.8188326927304029,1.036359363221161,,,,,True,True,train,5.0137033,-3.1895494,0.1708185053380783,0.14813362,0.09430604982206406,0.078339115,13.248316141581196
SmitKe02,kevin-smith-1,00-0026204,Kevin Smith,RB,2008,3,64,DET,central florida,73.0,217.0,4.53,32.0,120.0,,6.74,4.49,,,,,,,,,,,,19.0,19.0,54.0,0,0,2,False,skill_run,False,True,False,True,57.69,0,0,True,103.06160972821448,76.0,5.615,28.6265715894164,1.1501474029961911,-0.1652066429359762,-0.1948719764106164,-0.7710210849298669,0.2484560624177894,,-1.38916851551178,1.3786007217109313,0.0728613613257458,-0.1109736877086562,-0.3271999280744941,-1.1191873073629417,,,,,True,True,train,27.373701,7.2214184,0.900355871886121,0.34721243,0.8327402135231317,0.42771405,68.16756926556499
CharJa00,jamaal-charles-1,00-0026213,Jamaal Charles,RB,2008,3,73,KAN,texas,71.0,200.0,4.38,30.5,122.0,,6.8,4.22,,,,,,,,,,,,66.0,64.0,119.0,4,2,4,False,skill_run,False,True,False,True,52.59,0,0,True,108.68348335681848,76.25,5.51,27.89129141043444,0.0522152808722206,-1.1277718673726418,-1.3034251356326878,-1.2345027640361117,0.5772795192328759,,-1.1484275232364036,-0.2884893448520356,0.6474491040575635,-0.0518887208740136,-0.8868902777699117,-1.5100134722014968,,,,,True,True,train,33.67036,13.518078,0.9750889679715302,0.42153335,0.895017793594306,0.5260994,75.8565696379256
JoneFe00,felix-jones-1,00-0026162,Felix Jones,RB,2008,1,22,DAL,arkansas,70.0,207.0,4.44,33.5,124.0,,6.9,4.19,,,,,,,,,,,,27.0,26.0,80.0,0,0,1,False,skill_run,False,True,False,True,84.61,1,0,True,106.52914972501172,78.75,5.545,29.69816326530612,-0.4967507801897647,-0.7314214808398971,-0.8600038719438565,-0.307539405823622,0.9061029760479624,,-0.7471925361107719,-0.4737215744701388,0.4272638454823976,0.5389609474724122,-0.7003268278714392,-0.5496002615911374,,,,,True,True,train,37.901234,-5.8032722,0.0693950177935943,0.4737895,0.9199288256227758,0.5922068,42.49430375432205
CurlDa20,,00-0022015,Dan Curley,RB,2003,5,148,STL,eastern washington,76.0,254.0,4.63,35.5,118.0,17.0,7.47,4.53,,,,,,,,,,,,0.0,0.0,1.0,0,0,0,False,skill_run,False,False,False,True,19.27,0,1,True,110.54516397116852,76.75,6.0,30.914473684210527,2.7970455861821475,1.929788257308531,0.5441634630707601,0.3104361663180378,-0.0803673943972969,-0.6929031321777461,1.5398468905053149,1.6255770278684076,0.8377235450276285,0.0662812127952715,1.724998020808694,0.0969096673610569,,,,,True,True,train,5.8196363,-2.3836164,0.2277580071174377,0.15329112,0.21352313167259787,0.09093182,18.265241810196873
