pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag
BradAl00,allen-bradford-1,00-0028125,Allen Bradford,RB,2011,6,187,TAM,southern california,71.0,242.0,4.53,29.0,113.0,28.0,6.97,4.39,,,,,,267.0,1585.0,16.0,14.0,176.0,4.0,1.0,0.0,19.0,0,0,0,False,skill_run,False,False,False,False,8.41,0,1,True,114.93506707017468,71.0,5.68,33.74846260662567,0.05221528087222063,1.2503304518238259,-0.19487197641060985,-1.6979844431423563,-0.9024260364350131,1.5215778240389701,-0.466328045122837,0.7611599563172377,1.286396830680209,-1.2926730244015074,0.019275050308388754,1.6032701723810543,5.936329588014981,0.0599250936329588,0.052434456928838954,1761.0,False,False
FranJo01,johnathan-franklin-1,00-0030078,Johnathan Franklin,RB,2013,4,125,GNB,ucla,70.0,205.0,4.49,31.5,115.0,18.0,6.89,4.31,,,,,,788.0,4403.0,31.0,58.0,517.0,3.0,1.0,1.0,11.0,0,0,0,False,skill_run,False,False,False,False,27.74,0,0,True,100.87847137826606,73.25,5.6,29.41122448979592,-0.49675078018976476,-0.8446644484206813,-0.4904861522031618,-0.9255149779652817,-0.5736025796199266,-0.4915866816125901,-0.787316034823341,0.26720734400228485,-0.1502679047228074,-0.7609083228897244,-0.4071556923166899,-0.7021178792037717,5.58756345177665,0.03934010152284264,0.07360406091370558,4920.0,False,False
SankBi00,bishop-sankey-1,00-0031413,Bishop Sankey,RB,2014,2,54,TEN,washington,69.0,209.0,4.49,35.5,126.0,26.0,6.75,4.0,,,,,,644.0,3496.0,37.0,67.0,567.0,1.0,6.0,6.0,29.0,0,0,1,False,skill_run,False,False,False,False,63.63,0,0,True,102.84683179540295,80.75,5.375,30.86053350136526,-1.0457168412517501,-0.618178513259113,-0.4904861522031618,0.3104361663180377,1.2349264328630487,1.118944922908658,-1.3490450167992212,-1.646859028718153,0.05090982421276617,1.0116406821495525,-1.6064921559497207,0.06823864453912881,5.428571428571429,0.05745341614906832,0.10403726708074534,4063.0,False,False
RoysEv00,evan-royster-1,00-0028115,Evan Royster,RB,2011,6,177,WAS,penn st.,72.0,212.0,4.65,34.0,113.0,20.0,7.07,4.18,,,,,,686.0,3932.0,29.0,61.0,562.0,3.0,4.0,4.0,32.0,0,0,0,False,skill_run,False,False,False,False,10.77,0,1,True,90.68888137871588,73.5,5.625,28.749228395061728,0.601181341934206,-0.4483140618879367,0.6919705509670458,-0.15304551278820702,-0.9024260364350131,-0.08895378048227805,-0.0650930579972052,-0.535465651009512,-1.1917024697786707,-0.7018233560550818,-0.27389608524635106,-1.0539910865045385,5.7317784256559765,0.04227405247813411,0.08892128279883382,4494.0,False,False
JamiJa00,jawan-jamison-1,00-0030415,Jawan Jamison,RB,2013,7,228,WAS,rutgers,67.0,203.0,4.68,29.0,110.0,20.0,,,1.0,1.0,16.0,1.0,0.0,486.0,1972.0,13.0,36.0,385.0,2.0,,,,0,0,0,False,skill_run,True,True,False,False,1.78,0,1,True,84.6335623369776,69.5,,31.790822009356205,-2.1436489633757208,-0.9579074160014656,0.9136811828114549,-1.6979844431423563,-1.3956612216576427,-0.08895378048227805,,,-1.8105908208100243,-1.647182825409363,,0.5627183002737374,4.05761316872428,0.026748971193415638,0.07407407407407407,2357.0,False,False
FowlJa00,jalston-fowler-1,00-0032130,Jalston Fowler,RB,2015,4,108,TEN,alabama,71.0,254.0,4.94,33.5,114.0,23.0,7.56,4.4,,,,,,112.0,738.0,5.0,19.0,150.0,7.0,0.0,0.0,42.0,0,0,1,False,skill_run,False,False,False,False,35.0,0,0,True,85.30135237991863,73.75,5.98,35.421940091251734,0.05221528087222063,1.929788257308531,2.8351733254630456,-0.30753940582362194,-0.7380143080274698,0.5149955712131901,1.9009583789183773,0.8229040328566108,-1.7423388466923593,-0.6427383892204392,1.618390335152436,2.492779785118922,6.589285714285714,0.044642857142857144,0.16964285714285715,888.0,False,False
AlleJa01,javorius-allen-1,00-0031577,Javorius Allen,RB,2015,4,125,BAL,southern california,72.0,221.0,4.53,35.5,121.0,11.0,6.96,4.28,,,,,,417.0,2306.0,25.0,63.0,710.0,2.0,14.0,14.0,64.0,0,0,0,False,skill_run,False,False,False,False,27.74,0,0,True,104.96136290292812,78.25,5.62,29.96971450617284,0.601181341934206,0.061279292225592086,-0.19487197641060985,0.3104361663180377,0.41286779082533265,-1.9008018355686824,-0.5064515438353991,0.08197511438418166,0.26702703642246045,0.4207910138031269,-0.30054800666041787,-0.4052616365896656,5.5299760191846525,0.05995203836930456,0.1510791366906475,3016.0,False,False
DaviMi01,mike-davis-9,00-0032063,Mike Davis,RB,2015,4,126,SFO,south carolina,69.0,217.0,4.61,34.0,116.0,17.0,7.0,4.18,,,,,,454.0,2440.0,22.0,70.0,755.0,2.0,20.0,1.0,87.0,0,0,2,False,skill_run,False,False,False,False,27.34,0,0,True,96.0917334566631,75.0,5.59,32.041797941608905,-1.0457168412517501,-0.16520664293597626,0.39635637517449396,-0.15304551278820702,-0.4091908512123834,-0.6929031321777461,-0.3459575489851471,-0.535465651009512,-0.6394999862531772,-0.34731355504722644,-0.4604595351448236,0.6961204561769637,5.3744493392070485,0.048458149779735685,0.15418502202643172,3195.0,False,False
AjayJa00,jay-ajayi-1,00-0031590,Jay Ajayi,RB,2015,5,149,MIA,boise st.,72.0,221.0,4.57,39.0,121.0,19.0,7.1,4.1,,,,,,678.0,3796.0,50.0,73.0,771.0,5.0,19.0,14.0,45.0,1,0,2,False,skill_run,False,False,False,False,18.93,0,1,True,101.33453269169097,80.0,5.6,29.96971450617284,0.601181341934206,0.061279292225592086,0.10074219938194207,1.3918934175659423,0.41286779082533265,-0.2902702310474341,0.055277438140481125,-1.0294182633244648,-0.10365582164523068,0.8343857816456248,-0.4071556923166899,-0.4052616365896656,5.59882005899705,0.07374631268436578,0.10766961651917405,4567.0,False,False
ArmsRy00,ryquell-armstead-1,00-0035268,Ryquell Armstead,RB,2019,5,140,JAX,temple,71.0,220.0,4.45,30.0,114.0,22.0,7.02,4.29,,,,,,573.0,2812.0,34.0,29.0,175.0,0.0,2.0,2.0,18.0,0,0,0,False,skill_run,False,False,False,False,22.04,0,1,True,112.20510915445304,72.0,5.654999999999999,30.68042055147788,0.05221528087222063,0.004657808435199999,-0.7861003279957137,-1.3889966570715264,-0.7380143080274698,0.313679120648034,-0.2657105515600229,0.1437191909235494,1.007379467400049,-1.0563331570629373,-0.1139845567619501,-0.027497450971709976,4.907504363001745,0.059336823734729496,0.0506108202443281,2987.0,False,False
